ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics,ExecutePSRs
346,2,Verbs with Prepositions or Nouns,  'sit down',1,  Luke 4:20  Jesus sat down.-*-,"14,28-*-",{~|c-(~|v-Asit~|V-)~|(~|n-Adown~|P-)~|}~|-*-,"{~|c-^~|-1~|0(~|v-^~|-1~|0Asit~|V-^~|Delete~|0Asit-down~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-^~|-1~|0Adown~|P-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Asit,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
347,2,Case Frames G-H,  Case Frame for 'hold',1,  Kande's Story 1:16  Kande held her mother's hand.-*-  Kande's Story 2:16  The mother held the baby.-*-,"23,51-*-23,47-*-","{~|c-(~|v-Ahold~|V-)~|(~|n-,P,,,,,,,,,,,,Ahand~|N-)~|}~|-*-{~|c-(~|v-Ahold~|V-)~|(~|n-,P,,,,,,,,,,,,Ababy~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Ahold~|V-^~|Delete~|0Chold~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0Ahand~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0Ahold~|V-^~|Delete~|0Bhold~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0Ababy~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Ahold,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
396,101,Verbs with Prepositions or Nouns,  Delete empty NPs,1,"  Kande's Story 1:16  Then Kande and her mother sat down in order to rest.  The down caused an NP to be inserted, but then down was moved into the VP, but the remaining empty Patient NP was being copied into the in order to clause as the Agent.-*-","23,76,81,84,124,127,213,223-*-",{~|c-(~|n-*.~|N-*.~|P-*(~|j-*)~|)~|}~|-*-,{~|c-^~|-1~|0(~|n-^~|Delete~|0*.~|N-^~|Delete~|0*.~|P-^~|Delete~|0*(~|j-^~|Delete~|0*)~|^~|Delete~|0)~|^~|Delete~|0}~|^~|-1~|0-*-,,,-1,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
7,5,Thing-Thing Relationships,  Change 'of-A' to 'Body Part',1,  Daniel 1:15  The faces of these young men ...-*-,"16,47-*-","{~|c-(~|n-Aarm,Aback,Ablood,Abody,Abone,Achest,Acomb,Aeye,Aface,Afeather,Afinger,Afoot,Aforehead,Ahair,Ahand,Ahead,Aheart,Aheel,Ahip,Ahorn,Aknee,Aleg,Amouth,Anail,Aneck,Anose,Ashoulder,Askin,Astomach,Atoe,Awing~|N-(~|n-Aof~|P-)~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aarm,Aback,Ablood,Abody,Abone,Achest,Acomb,Aeye,Aface,Afeather,Afinger,Afoot,Aforehead,Ahair,Ahand,Ahead,Aheart,Aheel,Ahip,Ahorn,Aknee,Aleg,Amouth,Anail,Aneck,Anose,Ashoulder,Askin,Astomach,Atoe,Awing~|N-^~|~|0(~|n-^~|-1~|0A-Body Part~|P-^~|Insert~|1Aof~|P-^~|Delete~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,0-*-,,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,5,Thing-Thing Relationships,  Change 'of-A' to 'Group',1,  Adpositions 1:14  John saw a herd of sheep.-*-,-*-,"{~|c-(~|n-Aof~|P-Acow,Asheep~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aof~|P-^~|Delete~|0A-Group~|P-^~|Insert~|1Acow,Asheep~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,0-*-,,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,5,Thing-Thing Relationships,  Change 'of-A' to 'Kinship',1,  Daniel 5:1  Nebuchadnezzar's son ...  Add people for Ruth 1:10  We want to go to your people.-*-  Nahum 3:18  Your people must run to the mountains.-*-,"15,38,45,51,67,95-*--*-","{~|c-(~|n-Aancestor,Ababy,Abrother,Achild,Acousin,Adaughter,Adaughter-in-law,Adescendant,Afamily,Afather,AFather,Afather-in-law,Agrandchild,Agrandfather,Agrandson,Ahusband,Amother,Amother-in-law,Aparent,Aperson,Arelative,Asister,Ason,ASon,Auncle,Awife~|N-(~|n-Aof~|P-)~|)~|}~|-*-{~|c-(~|n-Aperson~|N-(~|n-Aof~|P-AGod,Aking~|N-)~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aancestor,Ababy,Abrother,Achild,Acousin,Adaughter,Adaughter-in-law,Adescendant,Afamily,Afather,AFather,Afather-in-law,Agrandchild,Agrandfather,Agrandson,Ahusband,Amother,Amother-in-law,Aparent,Aperson,Arelative,Asister,Ason,ASon,Auncle,Awife~|N-^~|~|0(~|n-^~|-1~|0Aof~|P-^~|Delete~|0A-Kinship~|P-^~|Insert~|1)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0Aperson~|N-^~|~|0(~|n-^~|-1~|0Aof~|P-^~|Delete~|0A-Generic Genitive~|P-^~|Insert~|1AGod,Aking~|N-^~|~|0)~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,0-*-00-*-,,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,5,Thing-Thing Relationships,  Change 'of-A' to 'Made of',1,  Daniel 3:1  -*-,-*-,"{~|c-(~|n-Aof~|P-Abrick,Abronze,Afire,Agold,Airon~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aof~|P-^~|Delete~|0A-Made of~|P-^~|Insert~|1Abrick,Abronze,Afire,Agold,Airon~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Aof,",,2,,,,0,0,0,0000000000000000000000000,,0000000000000000000000000
15,2,Semantic Roles,  Delete Adpositions from Arguments of certain events,1,"  Daniel 1:11  The guard cared for Daniel, Hananiah, Mishael, and Azariah.  We want the NPs following care to be tagged as Patients, not Beneficiaries.-*-","16,76,103,107-*-",{~|c-(~|v-Acare~|V-)~|(~|n-Afor~|P-)~|}~|-*-,{~|c-^~|-1~|0(~|v-^~|-1~|0Acare~|V-^~|~|0)~|^~|-1~|0(~|n-^~|-1~|0Afor~|P-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-,,,2,"4,27,1,11^",,,0,0,0,0000000000000000000000000,,0000000000000000000000000
18,2,Coordinate Phrases,  Coordinate NPs before the VP,1,"  Two Participant NPs. Daniel 1:1 Nebuchadnezzar and Nebuchadnezzar's army went to Jerusalem.-*-  Ruth 4:11 All the people who were at the gate and the ten old leaders said, ...  Because of the relative clause in the first NP, the second NP isn't embedded in the first NP.-*-  Two Participant NPs. Daniel 1:1 Nebuchadnezzar and Nebuchadnezzar's army went to Jerusalem.  Daniel 5:6 The king's knees and the king's legs began to shake.-*-  Two Participant NPs. Daniel 1:6  The king of the south region and the ...-*-  Two Participant NPs embedded in an oblique as in Daniel 11:6  After some years, the king of the south region and the king of the north region will ...-*-  Three Participant NPs.-*-  Four Participant NPs.  Daniel 1:6 Daniel, Hananiah, Mishael, and Azariah were ...-*-","35,93-*-13,81-*-35,93,107,158-*--*-65,152-*--*-37,83-*-","{~|c-(~|n-,,,,,,,,,,,,,(~|n-.~|C-)~|)~|(~|v-.~|V-)~|}~|-*-{~|c-(~|n-,,,,,,,,,,,,,[~|c-]~|)~|(~|n-.~|C-)~|(~|v-.~|V-)~|}~|-*-{~|c-(~|n-,,,,,,,,,,,,,(~|n-A-Name,Aof,Aof-possession~|P-(~|n-.~|C-)~|)~|)~|(~|v-.~|V-)~|}~|-*-{~|c-(~|n-,,,,,,,,,,,,,(~|n-(~|n-(~|n-.~|C-)~|)~|)~|)~|(~|v-.~|V-)~|}~|-*-{~|c-(~|n-,,,,,,,,,,,,,(~|n-(~|n-Aof,Aof-possession~|P-(~|n-(~|n-.~|C-)~|)~|)~|)~|)~|(~|v-.~|V-)~|}~|-*-{~|c-(~|n-)~|0----~|&comma~!~~|-4(~|n-)~|0----~|&comma~!~~|-4(~|n-.~|C-)~|(~|v-.~|V-)~|}~|-*-{~|c-(~|n-)~|0----~|&comma~!~~|-4(~|n-)~|0----~|&comma~!~~|-4(~|n-)~|0----~|&comma~!~~|-4(~|n-.~|C-)~|(~|v-.~|V-)~|}~|-*-","{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0Move0!(~|n-L,,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0[~|c-^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0(~|n-L,,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0(~|n-^~|-1~|0A-Name,Aof,Aof-possession~|P-^~|~|0Move0!(~|n-L,A,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0(~|n-^~|-1~|0(~|n-^~|-1~|0Move0!(~|n-L,A,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0(~|n-^~|-1~|0(~|n-^~|-1~|0Aof,Aof-possession~|P-^~|~|0(~|n-^~|-1~|0Move0!(~|n-L,A,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|00----~|comma~!~^~|Delete~|0(~|n-C,,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|00----~|comma~!~^~|Delete~|0(~|n-L,,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-F,,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|00----~|comma~!~^~|Delete~|0(~|n-C,,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|00----~|comma~!~^~|Delete~|0(~|n-C,,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|00----~|comma~!~^~|Delete~|0(~|n-L,,,,,,,,,,,,,^~|-1~|0.~|C-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,-*--*--*--*--*--*--*-,,0,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,5,Adverbial Clauses,  'in order to' clauses need a Participant NP,1,"  Daniel 3:3  All of the princes, all of the rules, and all of the people who collect taxes came in order to see the statue.  -*-  Daniel 3:12 There are some Jews that you chose in order to govern the kingdom.  There are a few situations where the agent of the transitive verb is also the agent of the adverbial clause, but those are rare.  If the verb is transitive, the Patient NPs should become the Participant NPs for the in-order-to clause. Dan. 1:6, 2:38, 3:28, 5:24, 6:1, 6:22, 9:10, etc.  Exclude the verb 'use' as in Daniel 2:40  ""People use iron to break other things.""  ""iron"" will later become an instrument.-*-","15,124-*-15,80-*-","{~|c-&(~|n-,A,,,,,,,,,,,,&)~|&(~|n-,A,,,,,,,,,,,,&)~|(~|n-,A,,,,,,,,,,,,)~|[~|c-Ain-order-to~|P-]~|}~|-*-{~|c-(~|v-*Ause~|V-)~|&(~|n-,P,,,,,,,,,,,,&)~|&(~|n-,P,,,,,,,,,,,,&)~|(~|n-,P,,,,,,,,,,,,)~|[~|c-Ain-order-to~|P-]~|}~|-*-","{~|c-^~|-1~|0&(~|n-,A,,,,,,,,,,,,^~|-1~|0&)~|^~|-1~|0&(~|n-,A,,,,,,,,,,,,^~|-1~|0&)~|^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0[~|c-^~|-1~|0Ain-order-to~|P-^~|~|0Copy1~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase2~|c-^~|-1~|1Copy3~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase4~|c-^~|-1~|1Copy5~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase6~|c-^~|-1~|1]~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0*Ause~|V-^~|~|0)~|^~|-1~|0&(~|n-,P,,,,,,,,,,,,^~|-1~|0&)~|^~|-1~|0&(~|n-,P,,,,,,,,,,,,^~|-1~|0&)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0[~|c-^~|-1~|0Ain-order-to~|P-^~|~|0Copy4~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase5~|c-^~|-1~|1Copy6~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase7~|c-^~|-1~|1Copy8~|n-,A,,,,,,,,,,,,^~|-1~|1CopyPhrase9~|c-^~|-1~|1]~|^~|-1~|0}~|^~|-1~|0-*-","Ain-order-to,",,2,,,,0,0,0,0000000000000000000000000,,1000000000000000000000000
33,2,Case Frames A-B,  Case Frame for 'accuse',1,  Daniel 3:8  The astrologers accused some Jews of not bowing to the statue.-*-,-*-,"{~|c-(~|v-Aaccuse~|V-)~|[~|c-(~|n-,A,,,,,,,,,,,,(~|n-Aof~|P-)~|)~|]~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Aaccuse~|V-^~|~|0)~|^~|-1~|0Copy5~|n-,P,,,,,,,,,,,,^~|-1~|1CopyPhrase9~|c-^~|-1~|1[~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0(~|n-^~|Delete~|0Aof~|P-^~|Delete~|0)~|^~|Delete~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-","Aaccuse,",,2,,,,0,0,0,0000000000000000000000000,,1000000000000000000000000
