ID,Reference,Verse,Notes,NoteFonts,Residue
11,Avian Influenza 1:11,"8) When people who work for the government examine the people's chickens, they'll give vaccine to them.~!~8) [ when (NP people [ who[Relativizer] (NP ) (VP work ) (NP for the[Article] government ) ] ) (VP examine ) (NP (NP _ the[Article] people+`s[Saxon_Genitive] ) chicken+s[Plural] ) , ] (NP they ) (VP will[INFL] give ) (NP vaccine ) (NP to them ) . ",,,
12,Avian Influenza 1:12,"9) When people sell their chickens and eggs, they have to save one tenth of the money that they receive to buy vaccine and more chickens.",,,
13,Avian Influenza 2:1,That evening a man named Nano saw that his rooster was sick. The rooster's comb was big and blue. Pus was coming from the rooster's eyes and his beak. And the rooster's foot was red. The rooster also wasn't able to crow.~!~(NP that[Pre-Nominal] evening ) (NP a[Pre-Nominal] man (NP named Nano ) ) (VP saw ) [ that[Complementizer] (NP (NP _ his ) rooster ) (VP was ) (AdjP sick ) ] . (NP (NP _ the[Pre-Nominal] rooster+`s[Saxon_Genitive] ) comb ) (VP was ) (AdjP big ) (AdjP and blue ) . (NP pus ) (VP was[Pre-Verbal] com+ing[Participle] ) (NP from (NP _ the[Pre-Nominal] rooster+`s[Saxon_Genitive] ) eye+s[Plural] ) (NP and (NP _ his ) beak ) . and (NP (NP _ the[Pre-Nominal] rooster+`s[Saxon_Genitive] ) foot ) (VP was ) (AdjP red ) . (NP the[Pre-Nominal] rooster ) (VP (AdvP also ) was not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] crow ) ] ) . ,,,
14,Avian Influenza 2:2,"So Nano went to Paulus' house. Then he said to Paulus, “Come to my pen to look at my rooster. My rooster is sick!” So Paulus put a cloth on his face so that he wouldn't catch the disease. And he also put gloves on his hands so that he wouldn't catch the disease. Then Nano also put a cloth on his face so that he wouldn't catch the disease. And he also put gloves on his hands so that he wouldn't catch the disease.~!~so (NP Nano ) (VP went ) (NP to (NP _ Paulus+`[Saxon_Genitive] ) house ) . then (NP he ) (VP said ) (NP to Paulus ) [ ,_“ (NP ) (VP come ) (NP to (NP _ my ) pen ) [ to (NP ) (VP look ) (NP at (NP _ my ) rooster ) ] ] . (NP (NP _ my ) rooster ) (VP is ) (AdjP sick ) ! . ” so (NP Paulus ) (VP put ) (NP a[Pre-Nominal] cloth ) (NP on (NP _ his ) face ) [ so_that (NP he ) (VP wouldn`t[Pre-Verbal] catch ) (NP the[Pre-Nominal] disease ) ] . and (NP he ) (VP (AdvP also ) put ) (NP glove+s[Plural] ) (NP on (NP _ his ) hand+s[Plural] ) [ so_that (NP he ) (VP wouldn`t[Pre-Verbal] catch ) (NP the[Pre-Nominal] disease ) ] . then (NP Nano (AdvP also ) ) (VP put ) (NP a[Pre-Nominal] cloth ) (NP on (NP _ his ) face ) [ so_that (NP he ) (VP wouldn`t[Pre-Verbal] catch ) (NP the[Pre-Nominal] disease ) ] . and (NP he ) (VP (AdvP also ) put ) (NP glove+s[Plural] ) (NP on (NP _ his ) hand+s[Plural] ) [ so_that (NP he ) (VP wouldn`t[Pre-Verbal] catch ) (NP the[Pre-Nominal] disease ) ] . ",,,
15,Avian Influenza 2:3,"After Paulus examined Nano's rooster, he said, “I think that this rooster has Avian Influenza.” Then he examined all of Nano's chickens. After Paulus examined a chicken, he washed his hands with soap so that he wouldn't carry the disease to other chickens.~!~[ after (NP Paulus ) (VP examin+ed[Past_Tense] ) (NP (NP _ Nano+`s[Saxon_Genitive] ) rooster ) , ] (NP he ) (VP said ) [ ,_“ (NP I ) (VP think ) [ that[Complementizer] (NP this[Pre-Nominal] rooster ) (VP has ) (NP Avian_Influenza ) ] ” ] . then (NP he ) (VP examin+ed[Past_Tense] ) (NP (AdjP all of ) (NP _ Nano+`s[Saxon_Genitive] ) chicken+s[Plural] ) . [ after (NP Paulus ) (VP examin+ed[Past_Tense] ) (NP a[Pre-Nominal] chicken ) , ] (NP he ) (VP wash+ed[Past_Tense] ) (NP (NP _ his ) hand+s[Plural] ) (NP with soap ) [ so_that (NP he ) (VP wouldn`t[Pre-Verbal] carry ) (NP the[Pre-Nominal] disease ) (NP to (AdjP other ) chicken+s[Plural] ) ] . ",,,
16,Avian Influenza 2:4,Paulus put the rooster that was sick in a special cage. And Paulus also put three chickens in a basket because he thought that they had Avian Influenza. Then Nano and Paulus put all of the healthy chickens in the pen.~!~(NP Paulus ) (VP put ) (NP the[Pre-Nominal] rooster [ that[Relativizer] (NP ) (VP was ) (AdjP sick ) ] ) (NP in a[Pre-Nominal] (AdjP special ) cage ) . and (NP Paulus ) (VP (AdvP also ) put ) (NP (AdjP three ) chicken+s[Plural] ) (NP in a[Pre-Nominal] basket ) [ because (NP he ) (VP thought ) [ that[Complementizer] (NP they ) (VP had ) (NP Avian_Influenza ) ] ] . then (NP Nano ) (NP and Paulus ) (VP put ) (NP (AdjP all of ) the[Pre-Nominal] (AdjP healthy ) chicken+s[Plural] ) (NP in the[Pre-Nominal] pen ) . ,,,
17,Avian Influenza 2:5,Then Paulus and Nano went to the stream. Paulus washed his hands with soap thoroughly. And Nano also washed his hands with soap thoroughly. Then Paulus went to his house. And Nano went to his house.,,,
19,Avian Influenza 2:7,The other people who were living in the village heard about Nano's rooster and his chickens. So they put their chickens in pens. They didn't want their chickens to be close to the three chickens that were sick.~!~(NP the[Article] (AdjP other ) people [ who[Relativizer] (NP ) (VP were liv+ing[Participle] ) (NP in the[Article] village ) ] ) (VP heard ) (NP about (NP _ Nano+`s[Saxon_Genitive] ) rooster ) (NP and (NP _ his ) chicken+s[Plural] ) . so (NP they ) (VP put ) (NP (NP _ their ) chicken+s[Plural] ) (NP in pen+s[Plural] ) . (NP they ) (VP did not[Verb_Polarity] want ) (NP (NP _ their ) chicken+s[Plural] ) [ (NP ) (VP to[INFL] be ) (AdjP close (NP to the[Article] (AdjP three ) chicken+s[Plural] [ that[Relativizer] (NP ) (VP were ) (AdjP sick ) ] ) ) ] . ,,,
20,Avian Influenza 2:8,"Paulus and Nano took to town the rooster that died. A veterinarian named Agus worked at the clinic. Paulus and Nano showed that rooster to Agus. After Agus examined that rooster, he said, “I think that this rooster died because of Avian Influenza. I'll burn this rooster.”",,,
21,Avian Influenza 2:9,"Then Agus said, “You have to do these things. Take these gloves and this jar of bleach to your village. Clean all of your pens with this bleach. Tomorrow I'll go to your village and examine your pens. And I will give vaccine to all of the chickens that are healthy.”~!~then (NP Agus ) (VP said ) [ ,_“ (NP you ) (VP have_to[Pre-Verbal] do ) (NP these[Pre-Nominal] thing+s[Plural] ) ] . (NP ) (VP take ) (NP these[Pre-Nominal] glove+s[Plural] ) (NP and (NP this[Pre-Nominal] jar of ) bleach ) (NP to (NP _ your ) village ) . (NP ) (VP clean ) (NP (AdjP all of ) (NP _ your ) pen+s[Plural] ) (NP with this[Pre-Nominal] bleach ) . (AdvP tomorrow ) (NP I ) (VP will[Pre-Verbal] go ) (NP to (NP _ your ) village ) [ and (NP ) (VP examine ) (NP (NP _ your ) pen+s[Plural] ) ] . and (NP I ) (VP will[Pre-Verbal] give ) (NP vaccine ) (NP to (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] [ that[Relativizer] (NP ) (VP are ) (AdjP healthy ) ] ) . ” ",,,
22,Avian Influenza 2:10,"Then Paulus and Nano returned to the village. Before Paulus and Nano entered the village, they went to the stream. Paulus washed his hands with soap thoroughly. And Nano also washed his hands with soap thoroughly. Paulus and Nano didn't want to carry germs to the village.",,,
23,Avian Influenza 3:1,Paulus called all of the people who lived in Terpen. So all of the people came to Nano's house. Then Paulus and Nano told the people about the things that Agus said. Then one half of the people worked with Paulus. And the other people worked with Nano.~!~(NP Paulus ) (VP call+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in Terpen ) ] ) . so (NP (AdjP all of ) the[Pre-Nominal] people ) (VP came ) (NP to (NP _ Nano+`s[Saxon_Genitive] ) house ) . then (NP Paulus ) (NP and Nano ) (VP told ) (NP the[Pre-Nominal] people ) (NP about the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP Agus ) (VP said ) (NP ) ] ) . then (NP (AdjP one_half of ) the[Pre-Nominal] people ) (VP work+ed[Past_Tense] ) (NP with Paulus ) . and (NP the[Pre-Nominal] (AdjP other ) people ) (VP work+ed[Past_Tense] ) (NP with Nano ) . ,,,
25,Avian Influenza 3:3,The people put cloths on their faces and put gloves on their hands. Then they killed all of Nano's chickens and put them in that hole. Then they burned those chickens. They also burned all of Nano's cages and buckets. They burned all of the things that Nano's chickens touched.~!~(NP the[Pre-Nominal] people ) (VP put ) (NP cloth+s[Plural] ) (NP on (NP _ their ) face+s[Plural] ) [ and (NP ) (VP put ) (NP glove+s[Plural] ) (NP on (NP _ their ) hand+s[Plural] ) ] . then (NP they ) (VP kill+ed[Past_Tense] ) (NP (AdjP all of ) (NP _ Nano+`s[Saxon_Genitive] ) chicken+s[Plural] ) [ and (NP ) (VP put ) (NP them ) (NP in that[Pre-Nominal] hole ) ] . then (NP they ) (VP burn+ed[Past_Tense] ) (NP those[Pre-Nominal] chicken+s[Plural] ) . (NP they ) (VP (AdvP also ) burn+ed[Past_Tense] ) (NP (AdjP all of ) (NP _ Nano+`s[Saxon_Genitive] ) cage+s[Plural] ) (NP and bucket+s[Plural] ) . (NP they ) (VP burn+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP (NP _ Nano+`s[Saxon_Genitive] ) chicken+s[Plural] ) (VP touch+ed[Past_Tense] ) (NP ) ] ) . ,,,
27,Avian Influenza 3:5,"Then the people put some bleach and some water in a bucket. They cleaned all of the things that the chickens had touched. After the people burned all of the chickens, they put dirt on the ashes that were in that hole. Then they filled that hole with dirt.~!~then (NP the[Pre-Nominal] people ) (VP put ) (NP (AdjP some ) bleach ) (NP and (AdjP some ) water ) (NP in a[Pre-Nominal] bucket ) . (NP they ) (VP clean+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP the[Pre-Nominal] chicken+s[Plural] ) (VP had[Pre-Verbal] touch+ed[Past_Tense] ) (NP ) ] ) . [ after (NP the[Pre-Nominal] people ) (VP burn+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] ) , ] (NP they ) (VP put ) (NP dirt ) (NP on the[Pre-Nominal] ash+es[Plural] [ that[Relativizer] (NP ) (VP were ) (NP in that[Pre-Nominal] hole ) ] ) . then (NP they ) (VP fill+ed[Past_Tense] ) (NP that[Pre-Nominal] hole ) (NP with dirt ) . ",,,
28,Avian Influenza 3:6,"Nano said to the people who worked with him, “If more chickens become sick, we have to kill them so that this disease can't spread. Tomorrow Agus will come to examine our chickens.”~!~(NP Nano ) (VP said ) (NP to the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP work+ed[Past_Tense] ) (NP with him ) ] ) [ ,_“ [ if (NP (AdjP more ) chicken+s[Plural] ) (VP become ) (AdjP sick ) , ] (NP we ) (VP have_to[Pre-Verbal] kill ) (NP them ) [ so_that (NP this[Pre-Nominal] disease ) (VP can`t[Pre-Verbal] spread ) ] ] . (AdvP tomorrow ) (NP Agus ) (VP will[Pre-Verbal] come ) [ to (NP ) (VP examine ) (NP (NP _ our ) chicken+s[Plural] ) ] . ” ",,,
29,Avian Influenza 3:7,Paulus and the people who worked with him put gloves on their hands. And the people put cloths on their faces so that they wouldn't catch the disease. Then they went to each house that was in the village. They caught all of the chickens that lived in the village. Then they examined those chickens.~!~(NP Paulus ) (NP and the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP work+ed[Past_Tense] ) (NP with him ) ] ) (VP put ) (NP glove+s[Plural] ) (NP on (NP _ their ) hand+s[Plural] ) . and (NP the[Pre-Nominal] people ) (VP put ) (NP cloth+s[Plural] ) (NP on (NP _ their ) face+s[Plural] ) [ so_that (NP they ) (VP wouldn`t[Pre-Verbal] catch ) (NP the[Pre-Nominal] disease ) ] . then (NP they ) (VP went ) (NP to (AdjP each ) house [ that[Relativizer] (NP ) (VP was ) (NP in the[Pre-Nominal] village ) ] ) . (NP they ) (VP caught ) (NP (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] [ that[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in the[Pre-Nominal] village ) ] ) . then (NP they ) (VP examin+ed[Past_Tense] ) (NP those[Pre-Nominal] chicken+s[Plural] ) . ,,,
30,Avian Influenza 3:8,"After a person examined a chicken, he washed his hands to prevent the disease from spreading. The people finished examining chickens at Nano's house. Paulus and the people who worked with him met Nano and the people who worked with him at his house.",,,
31,Avian Influenza 3:9,The people saw that the other chickens weren't sick. So they were happy.~!~(NP the[Pre-Nominal] people ) (VP saw ) [ that[Complementizer] (NP the[Pre-Nominal] (AdjP other ) chicken+s[Plural] ) (VP were not[Post-Verbal] ) (AdjP sick ) ] . so (NP they ) (VP were ) (AdjP happy ) . ,,,
32,Avian Influenza 3:10,"After the people finished examining all of the chickens, their owners put bleach and water into buckets. Then they cleaned the pens of their chickens. Then all of the people went to the stream. They washed their clothes with soap thoroughly and also washed themselves with soap. They were very tired. But they were happy because they had worked hard.~!~[ after (NP the[Pre-Nominal] people ) (VP finished[Pre-Verbal] examin+ing[Participle] ) (NP (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] ) , ] (NP (NP their ) owner+s[Plural] ) (VP put ) (NP bleach ) (NP and water ) (NP into bucket+s[Plural] ) . then (NP they ) (VP clean+ed[Past_Tense] ) (NP the[Pre-Nominal] pen+s[Plural] (NP of _ (NP _ their ) chicken+s[Plural] ) ) . then (NP (AdjP all of ) the[Pre-Nominal] people ) (VP went ) (NP to the[Pre-Nominal] stream ) . (NP they ) (VP wash+ed[Past_Tense] ) (NP (NP _ their ) clothes ) (NP with soap ) (AdvP thoroughly ) [ and (NP ) (VP (AdvP also ) wash+ed[Past_Tense] ) (NP themselves ) (NP with soap ) ] . (NP they ) (VP were ) (AdjP very[Pre-Adjective] tired ) . but (NP they ) (VP were ) (AdjP happy ) [ because (NP they ) (VP had[Pre-Verbal] work+ed[Past_Tense] (AdvP hard ) ) ] . ",,,
33,Avian Influenza 3:11,The next morning Agus came to the village. He washed his hands with soap. Then he put special clothes on. He put a cloth on his face and put gloves on his hands. Then he started giving vaccine to the chickens.,,,
34,Avian Influenza 3:12,"After Agus gave vaccine to all of the chickens, he said to the people, “Yesterday you cleaned your pens well. Your chickens are very healthy. But your chickens have to stay in the pens. Please examine your chickens each day. If you see a chicken that is sick, put it in a special cage. Then please immediately tell me about that chicken. If you see a person who is sick, please tell me about him. If you see an animal that is sick, please tell me about him.~!~[ after (NP Agus ) (VP gave ) (NP vaccine ) (NP to (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] ) , ] (NP he ) (VP said ) (NP to the[Pre-Nominal] people ) [ ,_“ (AdvP yesterday ) (NP you ) (VP clean+ed[Past_Tense] ) (NP (NP _ your ) pen+s[Plural] ) (AdvP well ) ] . (NP (NP _ your ) chicken+s[Plural] ) (VP are ) (AdjP very[Pre-Adjective] healthy ) . but (NP (NP _ your ) chicken+s[Plural] ) (VP have_to[Pre-Verbal] stay ) (NP in the[Pre-Nominal] pen+s[Plural] ) . please (NP ) (VP examine ) (NP (NP _ your ) chicken+s[Plural] ) (NP (AdjP each ) day ) . [ if (NP you ) (VP see ) (NP a[Pre-Nominal] chicken [ that[Relativizer] (NP ) (VP is ) (AdjP sick ) ] ) , ] (NP ) (VP put ) (NP it ) (NP in a[Pre-Nominal] (AdjP special ) cage ) . then please (NP ) (VP (AdvP immediately ) tell ) (NP me ) (NP about that[Pre-Nominal] chicken ) . [ if (NP you ) (VP see ) (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is ) (AdjP sick ) ] ) , ] please (NP ) (VP tell ) (NP me ) (NP about him ) . [ if (NP you ) (VP see ) (NP an[Pre-Nominal] animal [ that[Relativizer] (NP ) (VP is ) (AdjP sick ) ] ) , ] please (NP ) (VP tell ) (NP me ) (NP about him ) . ",,,
35,Avian Influenza 3:13,Don't allow other people to bring to your village chickens that are sick. And don't allow other people to bring to your village animals that are sick.”,,,
36,Avian Influenza 4:1,"Two days later Agus returned to the village. Before Agus started examining the chickens, he put special clothes on. And he put gloves on his hands. Then he drew blood from each chicken. He also examined each chicken's beak. Then he took the blood to the clinic so that other people could examine it.",,,
37,Avian Influenza 4:2,"After the people finished examining the blood, Agus wrote a letter to Chief Isak. Agus wrote, “Nano's rooster had Avian Influenza. Nano's rooster died because of Avian Influenza.” Then Agus sent that letter to Chief Isak.",,,
38,Avian Influenza 4:3,A few days later Nano became sick. He thought that he had a cold. So Paulus immediately examined Nano. Nano didn't go to the clinic because he didn't have a fever. But he stayed in a house alone so that other people wouldn't catch the disease. Paulus examined Nano each day.~!~(NP a_few[Pre-Nominal] days (AdvP later ) ) (NP Nano ) (VP became ) (AdjP sick ) . (NP he ) (VP thought ) [ that[Complementizer] (NP he ) (VP had ) (NP a[Pre-Nominal] cold ) ] . so (NP Paulus ) (VP (AdvP immediately ) examin+ed[Past_Tense] ) (NP Nano ) . (NP Nano ) (VP didn`t[Pre-Verbal] go ) (NP to the[Pre-Nominal] clinic ) [ because (NP he ) (VP didn`t[Pre-Verbal] have ) (NP a[Pre-Nominal] fever ) ] . but (NP he ) (VP stay+ed[Past_Tense] ) (NP in a[Pre-Nominal] house ) (AdvP alone ) [ so_that (NP (AdjP other ) people ) (VP wouldn`t[Pre-Verbal] catch ) (NP the[Pre-Nominal] disease ) ] . (NP Paulus ) (VP examin+ed[Past_Tense] ) (NP Nano ) (NP (AdjP each ) day ) . ,,,
39,Avian Influenza 4:4,"Nano had a daughter named Nina. Nina was two years old. One day she became sick. She had a fever and was breathing quickly. And Nina's nose was running. Nano knew that Nina had touched the three chickens that were sick. So Nano, his wife, and Paulus took Nina to the clinic because they thought that she might have Avian Influenza.",,,
40,Avian Influenza 4:5,"A nurse who worked at the clinic said that Nina has to stay there for ten days. Nina's mother also stayed at the clinic to take care of her. So Paulus and Nano returned to the village. Then Paulus said to Nano, “You and your children have to stay at your house for ten days. If a person becomes sick, immediately call me.”",,,
41,Avian Influenza 4:6,The nurses who worked at the clinic put Nina in a special room because they wanted to take care of her. Nina became very sick. But the nurses helped Nina become well. Then Nina's mother brought her to the village.,,,
42,Avian Influenza 4:7,The other people who lived in Terpen didn't become sick. And the other chickens that were in Terpen didn't become sick. One month later the people who lived in the village helped Nano clean the pen of his chickens. Then they gave one rooster and some chickens to Nano. But they continued examining all of the chickens that were in the village. And they continued chasing away the birds that ate food with the chickens. And they didn't allow other people to bring to the village chickens that were sick.~!~(NP the[Pre-Nominal] (AdjP other ) people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in Terpen ) ] ) (VP didn`t[Pre-Verbal] become ) (AdjP sick ) . and (NP the[Pre-Nominal] (AdjP other ) chicken+s[Plural] [ that[Relativizer] (NP ) (VP were ) (NP in Terpen ) ] ) (VP didn`t[Pre-Verbal] become ) (AdjP sick ) . (NP (AdjP one ) month (AdvP later ) ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in the[Pre-Nominal] village ) ] ) (VP help+ed[Past_Tense] ) (NP Nano ) [ (NP ) (VP clean ) (NP the[Pre-Nominal] pen (NP of _ (NP _ his ) chicken+s[Plural] ) ) ] . then (NP they ) (VP gave ) (NP (AdjP one ) rooster ) (NP and some[Pre-Nominal] chicken+s[Plural] ) (NP to Nano ) . but (NP they ) (VP continued[Pre-Verbal] examin+ing[Participle] ) (NP (AdjP all of ) the[Pre-Nominal] chicken+s[Plural] [ that[Relativizer] (NP ) (VP were ) (NP in the[Pre-Nominal] village ) ] ) . and (NP they ) (VP continued[Pre-Verbal] chas+ing[Participle] away[Verbal_Adposition_moved_to_Direct_Object] ) (NP the[Pre-Nominal] bird+s[Plural] [ that[Relativizer] (NP ) (VP ate ) (NP food ) (NP with the[Pre-Nominal] chicken+s[Plural] ) ] ) . and (NP they ) (VP didn`t[Pre-Verbal] allow ) (NP (AdjP other ) people ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP to the[Pre-Nominal] village ) (NP chicken+s[Plural] [ that[Relativizer] (NP ) (VP were ) (AdjP sick ) ] ) ] . ,,,
43,Avian Influenza 5:1,"You have to protect your chickens and your animals from this disease. You have to work with the other people who live in your village. You and the other people who live in your village have to learn about this disease. If you prevent this disease from spreading, your animals will be healthy.~!~(NP you ) (VP have_to[Pre-Verbal] protect ) (NP (NP _ your ) chicken+s[Plural] ) (NP and (NP _ your ) animal+s[Plural] ) (NP from this[Proximity] disease ) . (NP you ) (VP have_to[Pre-Verbal] work ) (NP with the[Article] (AdjP other ) people [ who[Relativizer] (NP ) (VP live ) (NP in (NP _ your ) village ) ] ) . (NP you ) (NP and the[Article] (AdjP other ) people [ who[Relativizer] (NP ) (VP live ) (NP in (NP _ your ) village ) ] ) (VP have_to[Pre-Verbal] learn about[Adposition_in_VP] ) (NP this[Proximity] disease ) . [ if (NP you ) (VP prevent ) (NP this[Proximity] disease ) [ from[Complementizer] (NP ) (VP spread+ing[Participle] ) ] , ] (NP (NP _ your ) animal+s[Plural] ) (VP will[Pre-Verbal] be ) (AdjP healthy ) . ",,,
