ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics
975,8,Common Transfer Rules,"  Identify Single Sentence Quotations, First of Multi-Sentence Quotation, and Last of Multi-Sentence Quotation",1,  Discourse 1:4-*-  Discourse 1:4-*-  Discourse 1:4-*-,-*--*--*-,"{~|c-[~|c-P,,,,,,,,,,,,,,,,,,,,,,,A-QuoteBegin~|r-]~|}~|-*-{~|c-[~|c-P,,,,,,,,,,,,,,,,,,,,,,,A-QuoteEnd~|r-]~|}~|-*-{~|c-[~|c-P,,,,,,,,,,,,,,,,,,,,,,,A-QuoteBegin~|r-A-QuoteEnd~|r-]~|}~|-*-","{~|c-^~|-1~|0[~|c-F,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0A-QuoteBegin~|r-^~|~|0]~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0[~|c-L,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0A-QuoteEnd~|r-^~|~|0]~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0[~|c-S,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0A-QuoteBegin~|r-^~|~|0A-QuoteEnd~|r-^~|~|0]~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,-*--*--*-,,No,No,0,0000000000000000000000000,
978,1,Complex Object Insertion Rules,"  ""veterinarian"" a doctor that treats sick animals -> veterinarian",1,  Avian Influenza 1:3-*-  Avian Influenza 1:3-*-,-*--*-,"{~|c-(~|n-Adoctor~|N-[~|c-(~|n-,A,,,,,,,,,,,,Adoctor~|N-)~|(~|v-Btreat~|V-)~|(~|n-,P,,,,,,,,,,,,(~|j-Asick~|A-)~|Aanimal~|N-)~|]~|)~|}~|-*-{~|c-(~|n-Adoctor~|N-[~|c-,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,Adoctor~|N-)~|(~|v-Btreat~|V-)~|(~|n-,P,,,,,,,,,,,,(~|j-Asick~|A-)~|Aanimal~|N-)~|]~|[~|c-,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,Aand~|C-]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Adoctor~|N-^~|Delete~|0Aveterinarian~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Adoctor~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Btreat~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0(~|j-^~|Delete~|0Asick~|A-^~|Delete~|0)~|^~|Delete~|0Aanimal~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0Adoctor~|N-^~|Delete~|0Aveterinarian~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Adoctor~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Btreat~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0(~|j-^~|Delete~|0Asick~|A-^~|Delete~|0)~|^~|Delete~|0Aanimal~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0[~|c-,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,^~|-1~|0Aand~|C-^~|Delete~|0]~|^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,000-*-000-*-,,No,No,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Aveterinarian
979,2,Complex Object Insertion Rules,"  ""virgin"" girl that did not sex a man -> virgin",1,  2 Samuel 13:2  Tamar was a virgin.-*-  Esther 2:3  The officials brought all the beautiful young virgins to the palace.-*-,"17,17-*-15,82-*-","{~|c-(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Asex~|V-,,,,N,,,,,,,,,,,,,)~|(~|n-,P,,,,,,,,,,,,Aman~|N-)~|}~|-*-{~|c-(~|n-Agirl,Awoman~|N-[~|c-(~|n-,A,,,,,,,,,,,,Agirl,Awoman~|N-)~|(~|v-Asex~|V-,,,,N,,,,,,,,,,,,,)~|(~|n-,P,,,,,,,,,,,,Aman~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0.~|N-^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Cbe~|V-P,U,I,N,A,N,^5|Time,Aspect,Mood,~|Insert~|1Asex~|V-,,,,N,,,,,,,,,,,,,^~|Delete~|0)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0Avirgin~|N-S,I,A,n,K,3,N,N,,,,,,,,,,,,,^2|Number,~|Insert~|1Aman~|N-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0Agirl,Awoman~|N-^~|Delete~|0Avirgin~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Agirl,Awoman~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Asex~|V-,,,,N,,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Aman~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Asex,",,2,,00-*-000-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Avirgin
980,2,Complex Object Insertion Rules,"  ""widow"" a woman whose husband died -> widow",1,  Luke 4:25-*-,-*-,"{~|c-(~|n-Awoman~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,Ahusband~|N-(~|n-Cof~|P-Awoman~|N-)~|)~|(~|v-Adie~|V-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Awoman~|N-^~|Delete~|0Awidow~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Ahusband~|N-^~|Delete~|0(~|n-^~|Delete~|0Cof~|P-^~|Delete~|0Awoman~|N-^~|Delete~|0)~|^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Adie~|V-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Adie,",,2,,000-*-,,No,No,0,0000000000000000000000000,1Awidow
981,1,Complex Object Insertion Rules,"  ""concubine"" other women that a king sleeps with (but is not the king's wife) -> concubine",1,"  Daniel 5:2 You wanted your guests, your wives, and your concubines to drink wine from these cups.-*-",-*-,"{~|c-(~|n-(~|j-Aother~|A-)~|Awoman~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Asex~|V-)~|(~|n-,P,,,,,,,,,,,,Awoman~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0(~|j-^~|Delete~|0Aother~|A-^~|Delete~|0)~|^~|Delete~|0Awoman~|N-^~|Delete~|0Aconcubine~|N-S,D,A,n,K,3,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,N,,,,,,,,,,,,^~|-1~|0A-Generic Genitive~|P-^~|Insert~|1.~|N-^~|-1~|0)~|^~|-1~|0(~|v-^~|Delete~|0Asex~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Awoman~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,000-*-,,No,No,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Aconcubine
982,2,Complex Event Insertion Rules,"  ""to frown"" X makes a confused expression -> X frowns",1,  Kande's Story 1:7  Iniko frowned.-*-,-*-,"{~|c-(~|v-Cmake~|V-)~|(~|n-,P,,,,,,,,,,,,(~|j-Aconfused~|A-)~|Aexpression~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0Cmake~|V-^~|Delete~|0Afrown~|V-P,U,I,N,A,N,^2|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0(~|j-^~|Delete~|0Aconfused~|A-^~|Delete~|0)~|^~|Delete~|0Aexpression~|N-^~|Delete~|0)~|^~|Delete~|0}~|^~|-1~|0-*-","Cmake,",,2,,0-*-,,No,No,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2Afrown
984,2,Complex Event Insertion Rules,"  ""to inherit"" X receives Y's things after Y dies -> X inherits Y's things",1,  Genesis 15:2-*-,-*-,"{~|c-[~|c-E,,,,,,,,,,,,,,,,,,,,,,,Aafter~|P-(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Adie~|V-)~|]~|(~|n-,A,,,,,,,,,,,,)~|(~|v-Areceive~|V-)~|(~|n-,P,,,,,,,,,,,,(~|n-A-Owner~|P-.~|N-)~|Athing~|N-)~|}~|-*-","{~|c-^~|-1~|0[~|c-E,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0Aafter~|P-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Adie~|V-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Areceive~|V-^~|Delete~|0Ainherit~|V-P,U,I,N,A,N,^13|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0(~|n-^~|-1~|0A-Owner~|P-^~|~|0.~|N-^~|~|0)~|^~|-1~|0Athing~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,110-*-,,No,No,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2Ainherit
985,3,Complex Event Insertion Rules,"  ""to bless"" X causes Y to be happy -> X blesses Y",1,"  Genesis 17:14  I will not bless a man that is not circumcised.-*-  Mark 'thing' as Generic so that this rule won't apply in questions like ""Which good things did Yahweh do for Boaz?""-*-","18,64-*--*-","{~|c-(~|n-,A,,,,,,,,,,,,)~|(~|v-Acause~|V-)~|[~|c-P,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,)~|(~|v-Dbe~|V-)~|(~|j-S,,,,,,,Ahappy~|A-)~|]~|}~|-*-{~|c-(~|n-,A,,,,,,,,,,,,AYahweh,AGod~|N-)~|(~|v-Ado~|V-)~|(~|n-,P,,,,,,,,,,,,(~|j-Agood~|A-)~|Bthing~|N-,G,,,,,,,,,,,,,,,,,,,,,,)~|(~|n-,B,,,,,,,,,,,,)~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0Acause~|V-^~|Delete~|0Bbless~|V-P,U,I,N,A,N,^4|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1)~|^~|-1~|0Copy7~|n-,P,,,,,,,,,,,,^~|-1~|1CopyPhrase8~|c-^~|-1~|1[~|c-P,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Dbe~|V-^~|Delete~|0)~|^~|Delete~|0(~|j-S,,,,,,,^~|Delete~|0Ahappy~|A-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-,A,,,,,,,,,,,,^~|-1~|0AYahweh,AGod~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0Bbless~|V-P,U,I,N,A,N,^5|Time,Aspect,Mood,Reflexivity,Polarity,~|Insert~|1Ado~|V-^~|Delete~|0)~|^~|-1~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0(~|j-^~|Delete~|0Agood~|A-^~|Delete~|0)~|^~|Delete~|0Bthing~|N-,G,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Ahappy,Agood,",,2,,-*-00-*-,,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,N00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2Bbless
987,5,Common Transfer Rules,  Convert 'unless' adverbials to 'if' adverbials,1,"  John will study unless Mary comes to his house. -> If Mary comes to John's house, he won't study.-*-",-*-,"{~|c-[~|c-Aunless~|P-]~|(~|v-.~|V-,,,,A,,,,,,,,,,,,)~|}~|-*-","{~|c-^~|-1~|0[~|c-^~|-1~|0Aunless~|P-^~|Delete~|0Aif~|P-^~|Insert~|1]~|^~|-1~|0(~|v-^~|-1~|0.~|V-,,,,N,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Aunless,",,2,,-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
988,2,Complex Object Attribute Insertion Rules,"  ""paralyzed"" X that is not able to move X's legs -> paralyzed X",1,  Luke 5:18  Some men brought a man that was not able to move his legs to Jesus.-*-,"14,80-*-","{~|c-(~|n-.~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-Dbe~|V-,,,,N,,,,,,,,,,,,,)~|(~|j-Aable~|A-[~|c-p,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,)~|(~|v-Cmove~|V-)~|(~|n-,P,,,,,,,,,,,,Aleg~|N-)~|]~|)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0(~|j-S,A,^~|-1~|1Aparalyzed~|A-N,^~|Insert~|1)~|^~|-1~|1.~|N-^~|~|0[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0.~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Dbe~|V-,,,,N,,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|j-^~|Delete~|0Aable~|A-^~|Delete~|0[~|c-p,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Cmove~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Aleg~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Dbe,",,2,,,,No,No,0,0000000000000000000000000,3Aparalyzed
989,2,Common Transfer Rules,"  When main verb's Time is Historical Past and subordinate verb's Time is Present, set subordinate verb's Time to Historical Past",1,"  Luke 4:27 When Elisha, who was a prophet, was at this place ...-*-  Luke 4:27 Elisha caused only Naaman, who lived in Syria, to become well.-*-  Luke 4:25 The husbands of many women who lived in Israel died.-*-",-*--*--*-,"{~|c-(~|n-[~|c-(~|v-.~|V-P,,,,,,,,,,,,,,,,,)~|]~|)~|(~|v-.~|V-h,,,,,,,,,,,,,,,,,)~|}~|-*-{~|c-[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^A-QuoteBegin,A-QuoteBegin1~|r-(~|n-[~|c-(~|v-.~|V-P,,,,,,,,,,,,,,,,,)~|]~|)~|]~|(~|v-.~|V-h,,,,,,,,,,,,,,,,,)~|}~|-*-{~|c-(~|n-(~|n-[~|c-(~|v-.~|V-P,,,,,,,,,,,,,,,,,)~|]~|)~|)~|(~|v-.~|V-h,,,,,,,,,,,,,,,,,)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0[~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-h,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-h,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0[~|c-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0^A-QuoteBegin,A-QuoteBegin1~|r-^~|~|0(~|n-^~|-1~|0[~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-h,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0]~|^~|-1~|0(~|v-^~|-1~|0.~|V-h,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0(~|n-^~|-1~|0[~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-h,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-h,,,,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,-*--*--*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
883,2,Initializing a Switch Reference System,  Set verb Location / Type to Final on all Verbs,1,  The VP is tagged as NOT Aspectual Subordinate because those verbs already have the Location/Type feature set.-*-,-*-,"{~|c-(~|v-!s,,,,,,.~|V-,,,,,,,,,,,,,,,!C!s!c!S!m!M,,,,)~|}~|-*-","{~|c-^~|~|0(~|v-!s,,,,,,^~|~|0.~|V-,,,,,,,,,,,,,,,F,,,,^~|~|0)~|^~|~|0}~|^~|~|0-*-",,,-1,,,,No,No,0,0000000000000000000000000,25
884,2,Initializing a Switch Reference System,  Medial Same Person Coordinate formed from Coordinate Independent clauses,1,  ME 1:82  p. 104:1  Don't completely delete subordinate subject because we need it for verbal agreement.-*-,-*-,"{~|c-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|(~|v-.~|V-)~|[~|c-C,,,,,,,,,,,,,,,,,,,,,,,^Aso~|C-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|]~|}~|-*-","{~|c-^~|-1~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-,,,,,,,,,,,,,,,C,,,,^~|~|0)~|^~|-1~|0[~|c-C,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0^Aso~|C-^~|Delete~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0.~|N-,,,,,,n,,,,,,,,,,,^~|Delete Target Word~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,11-*-,,No,No,0,0000000000000000000000000,25
885,2,Initializing a Switch Reference System,  Medial Same Person Simultanous formed from 'when' clauses,1,"  ME 1:85  p. 106:7 C 1:67  The main verb can't be Habitual aspect.  Ruth 2:2  When people harvest grain, they regularly drop some.  Ruth 1:21  The main verb can't be have.  When I left Bethlehem, I had many things.  Only two events can be simultaneous and 'have' isn't an event, it's a state.-*-",-*-,"{~|c-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|(~|v-*Ahave~|V-,!H,,,,,,,,,,,,,,,,,,)~|[~|c-E,,,,,,,,,,,,,,,,,,,,,,w,Awhen,Awhenever~|P-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|(~|v-.~|V-)~|]~|}~|-*-","{~|c-^~|~|0(~|n-,,,,,,,,,,,,Ssab,^~|~|0.~|N-,,,,,,A,,,,,,,,,,,^~|Delete Target Word~|0)~|^~|~|0(~|v-^~|-1~|0*Ahave~|V-,!H,,,,,,,,,,,,,,,,,,^~|-1~|0)~|^~|-1~|0[~|c-E,,,,,,,,,,,,,,,,,,,,,,w,^~|~|0Awhen,Awhenever~|P-^~|Delete~|0(~|n-,,,,,,,,,,,,Ssab,^~|~|0.~|N-^~|~|0)~|^~|~|0(~|v-^~|-1~|0.~|V-,,,,,,,,,,,,,,,S,,,,^~|-1~|0)~|^~|-1~|0]~|^~|~|0}~|^~|~|0-*-",,,2,,11-*-,,No,No,0,0000000000000000000000000,25
886,2,Initializing a Switch Reference System,  Medial Different Person Simultanous formed from 'when' clauses if there's a conjoined Subject,1,"  Ruth 2:14  When Boaz and his servants were eating, HE called Ruth.  This is marked with a Different Subject marker.-*-",-*-,"{~|c-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|[~|c-E,,,,,,,,,,,,,,,,,,,,,,w,(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|(~|n-,,,,,,,,,,,,Ssab,)~|(~|v-.~|V-)~|]~|}~|-*-","{~|c-^~|-1~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0[~|c-E,,,,,,,,,,,,,,,,,,,,,,w,^~|-1~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-,,,,,,,,,,,,,,,c,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,11-*-,,No,No,0,0000000000000000000000000,25
887,2,Initializing a Switch Reference System,  Medial Different Person Coordinate formed from Coordinate Independent clauses,1,  C 1:88-*-,-*-,"{~|c-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|(~|v-.~|V-)~|[~|c-C,,,,,,,,,,,,,,,,,,,,,,,Aand~|C-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|]~|}~|-*-","{~|c-^~|~|0(~|n-,,,,,,,,,,,,Ssab,^~|~|0.~|N-^~|~|0)~|^~|~|0(~|v-^~|~|0.~|V-,,,,,,,,,,,,,,,c,,^~|~|0)~|^~|~|0[~|c-C,,,,,,,,,,,,,,,,,,,,,,,^~|~|0Aand~|C-^~|Delete~|0(~|n-,,,,,,,,,,,,Ssab,^~|~|0.~|N-^~|~|0)~|^~|~|0]~|^~|~|0}~|^~|~|0-*-",,,2,,12-*-,,No,No,0,0000000000000000000000000,25
888,2,Initializing a Switch Reference System,"  Coordinate VPs -> Same person, simultaneous",1,  Verbs 1:31  John walked and sang.-*-,-*-,"{~|c-(~|v-FC,,,,,,.~|V-)~|}~|-*-","{~|c-^~|~|0(~|v-FC,,,,,,^~|~|0.~|V-,,,,,,,,,,,,,,,S,,^~|~|0)~|^~|~|0}~|^~|~|0-*-",,,-1,,,,No,No,0,0000000000000000000000000,25
889,2,Initializing a Switch Reference System,  Medial Same Person Sequential formed from 'before' clauses,1,  C 1:68-*-,-*-,"{~|c-(~|n-,A,,,,,,,,,,,,.~|N-)~|(~|v-.~|V-)~|[~|c-E,,,,,,,,,,,,,,,,,,,,,,b,(~|n-,A,,,,,,,,,,,,.~|N-)~|]~|}~|-*-","{~|c-^~|~|0(~|n-,A,,,,,,,,,,,,^~|~|0.~|N-^~|~|0)~|^~|~|0(~|v-^~|~|0.~|V-,,,,,,,,,,,,,,,C,,,,^~|~|0)~|^~|~|0[~|c-E,,,,,,,,,,,,,,,,,,,,,,b,^~|~|0(~|n-,A,,,,,,,,,,,,^~|~|0.~|N-,,,,,,n,,,,,,,,,,,^~|Delete Target Word~|0)~|^~|~|0]~|^~|~|0}~|^~|~|0-*-",,,-1,,11-*-,,No,No,0,0000000000000000000000000,25
890,2,Initializing a Switch Reference System,  Medial Different Person formed from 'before' clauses,1,  C 1:88-*-,-*-,"{~|c-[~|c-C,,,,,,,,,,,,,,,,,,,,,,,(~|n-,,,,,,,,,,,,SsabcdBDe,.~|N-)~|(~|v-.~|V-)~|]~|[~|c-E,,,,,,,,,,,,,,,,,,,,,,b,(~|n-,,,,,,,,,,,,SsabcdBDe,.~|N-)~|]~|}~|-*-","{~|c-^~|-1~|0[~|c-C,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,,,,,,,,,,,,SsabcdBDe,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-,,,,,,,,,,,,,,,c,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0[~|c-E,,,,,,,,,,,,,,,,,,,,,,b,^~|-1~|0(~|n-,,,,,,,,,,,,SsabcdBDe,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,12-*-,,No,No,0,0000000000000000000000000,25
891,2,Initializing a Switch Reference System,  Medial Different Person Simultaneous formed from 'while' clause,1,  C 1:71-*-,-*-,"{~|c-(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|[~|c-,,,,,,,,,,,,,,,,,,,,,,S,(~|n-,,,,,,,,,,,,Ssab,.~|N-)~|(~|v-.~|V-)~|]~|}~|-*-","{~|c-^~|-1~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0[~|c-,,,,,,,,,,,,,,,,,,,,,,S,^~|-1~|0(~|n-,,,,,,,,,,,,Ssab,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-,,,,,,,,,,,,,,,c,,,,^~|~|0)~|^~|-1~|0]~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,12-*-,,No,No,0,0000000000000000000000000,25
