ID,Name,Structure,Comment,SavedText,NameFonts,CommentFonts
290,"  walk (Time=Past, Aspect=Cessative, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,c,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,stopped walking,"3,6",
291,"  walk (Time=Future, Aspect=Cessative, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,c,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will stop walking,"3,6",
292,"  walk (Time=Present, Aspect=Cessative, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,c,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,stops walking,"3,6",
293,"  walk (Time=Past, Aspect=Continuative, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,o,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,continued walking,"3,6",
294,"  walk (Time=Future, Aspect=Continuative, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,o,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will continue walking,"3,6",
295,"  walk (Time=Present, Aspect=Continuative, Mood=Indicative, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,o,I,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,continues walking,"3,6",
296,"  walk (Time=Past, Aspect=Unmarked, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,U,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely walked,"3,6",
297,"  walk (Time=Future, Aspect=Unmarked, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,U,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will definitely walk,"3,6",
298,"  walk (Time=Present, Aspect=Unmarked, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,U,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely walks,"3,6",
299,"  walk (Time=Past, Aspect=Completive, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,C,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely finished walking,"3,6",
300,"  walk (Time=Future, Aspect=Completive, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,C,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will definitely finish walking,"3,6",
301,"  walk (Time=Present, Aspect=Completive, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,C,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely finishes walking,"3,6",
302,"  walk (Time=Past, Aspect=Inceptive, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,N,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely started walking,"3,6",
303,"  walk (Time=Future, Aspect=Inceptive, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,N,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will definitely start walking,"3,6",
304,"  walk (Time=Present, Aspect=Inceptive, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,N,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely starts walking,"3,6",
305,"  walk (Time=Past, Aspect=Cessative, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,c,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely stopped walking,"3,6",
306,"  walk (Time=Future, Aspect=Cessative, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,c,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will definitely stop walking,"3,6",
307,"  walk (Time=Present, Aspect=Cessative, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,c,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely stops walking,"3,6",
308,"  walk (Time=Past, Aspect=Continuative, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,o,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely continued walking,"3,6",
309,"  walk (Time=Future, Aspect=Continuative, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,o,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will definitely continue walking,"3,6",
310,"  walk (Time=Present, Aspect=Continuative, Mood=Definite Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,o,a,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,definitely continues walking,"3,6",
311,"  walk (Time=Past, Aspect=Unmarked, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,U,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably walked,"3,6",
312,"  walk (Time=Future, Aspect=Unmarked, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,U,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will probably walk,"3,6",
313,"  walk (Time=Present, Aspect=Unmarked, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,U,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably walks,"3,6",
314,"  walk (Time=Past, Aspect=Completive, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,C,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably finished walking,"3,6",
315,"  walk (Time=Future, Aspect=Completive, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,C,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will probably finish walking,"3,6",
316,"  walk (Time=Present, Aspect=Completive, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,C,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably finishes walking,"3,6",
317,"  walk (Time=Past, Aspect=Inceptive, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,N,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably started walking,"3,6",
318,"  walk (Time=Future, Aspect=Inceptive, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,N,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will probably start walking,"3,6",
319,"  walk (Time=Present, Aspect=Inceptive, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,N,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably starts walking,"3,6",
320,"  walk (Time=Past, Aspect=Cessative, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,c,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably stopped walking,"3,6",
321,"  walk (Time=Future, Aspect=Cessative, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,c,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will probably stop walking,"3,6",
322,"  walk (Time=Present, Aspect=Cessative, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,c,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably stops walking,"3,6",
323,"  walk (Time=Past, Aspect=Continuative, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Y,o,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably continued walking,"3,6",
324,"  walk (Time=Future, Aspect=Continuative, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,o,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,will probably continue walking,"3,6",
325,"  walk (Time=Present, Aspect=Continuative, Mood=Probable Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,o,b,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,probably continues walking,"3,6",
327,"  walk (Time=Future, Aspect=Unmarked, Mood='might' Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,U,c,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,might walk,"3,6",
328,"  walk (Time=Present, Aspect=Unmarked, Mood='might' Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,U,c,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,might walk,"3,6",
330,"  walk (Time=Future, Aspect=Completive, Mood='might' Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,C,c,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,might finish walking,"3,6",
331,"  walk (Time=Present, Aspect=Completive, Mood='might' Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,C,c,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,might finish walking,"3,6",
333,"  walk (Time=Future, Aspect=Inceptive, Mood='might' Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-Z,N,c,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,might start walking,"3,6",
334,"  walk (Time=Present, Aspect=Inceptive, Mood='might' Potential, Polarity=Affirmative)","{~|c-I,D,p,0,0,N,N,N,N,N,N,N,N,N,N,N,.,.,.,.,.,A,.,~|(~|n-S,p,N,.,.,.,.,.,.,.,.,.,S,~|-10----~|N-S,D,A,n,K,3,N,N,.,.,.,.,.,.,.,.,~|3)~|~|-1(~|v-S,.,.,.,.,.,~|0----~|V-P,N,c,N,A,N,p,.,.,.,.,.,.,.,.,.,~|1)~|~|}~|~|",  ,might start walking,"3,6",
